epoch,train_loss,train_top1,test_top1,best_top1,closest_top1,learning_rate,epoch_seconds,elapsed_seconds
230,0.01951438,99.495968,75.876578,76.718093,76.718093,0.0131951456,4.887059,1131.155150
231,0.01488388,99.546371,71.996260,76.718093,76.718093,0.0128427587,4.968087,1136.169889
232,0.01850362,99.495968,70.266480,76.718093,76.718093,0.0124944465,4.890869,1141.104706
233,0.01603109,99.445565,74.006545,76.718093,76.718093,0.0121502472,5.040033,1146.196469
234,0.01494109,99.571573,71.435250,76.718093,76.718093,0.0118101986,5.004941,1151.252938
235,0.02005964,99.369960,68.957457,76.718093,76.718093,0.0114743379,4.937215,1156.251648
236,0.01246212,99.722782,72.697522,76.718093,76.718093,0.0111427019,4.788147,1161.071978
237,0.01217619,99.672379,71.575503,76.718093,76.718093,0.0108153271,4.887871,1166.012129
238,0.00832700,99.823589,73.118280,76.718093,76.718093,0.0104922494,4.735010,1170.799597
239,0.01181742,99.747984,75.596073,76.718093,76.718093,0.0101735041,4.723520,1175.566499
240,0.00879694,99.773185,72.697522,76.718093,76.718093,0.0098591262,4.810459,1180.423343
241,0.01111031,99.697581,74.754558,76.718093,76.718093,0.0095491503,4.951753,1185.406476
242,0.00673931,99.848790,70.313230,76.718093,76.718093,0.0092436102,4.688986,1190.138764
243,0.01020940,99.798387,70.780739,76.718093,76.718093,0.0089425395,4.914189,1195.096694
244,0.01066283,99.773185,72.230014,76.718093,76.718093,0.0086459713,4.949212,1200.097932
245,0.00881373,99.747984,73.398784,76.718093,76.718093,0.0083539380,4.884349,1205.052344
246,0.00721227,99.873992,71.996260,76.718093,76.718093,0.0080664716,4.798264,1209.894435
247,0.00764535,99.848790,71.294998,76.718093,76.718093,0.0077836037,5.040409,1214.993052
248,0.00874336,99.747984,74.754558,76.718093,76.718093,0.0075053654,4.876840,1219.912243
249,0.00967009,99.722782,72.837775,76.718093,76.718093,0.0072317870,4.944312,1224.912618
250,0.00885810,99.672379,70.874240,76.718093,76.718093,0.0069628986,4.855808,1229.816501
251,0.00475106,99.873992,73.398784,76.718093,76.718093,0.0066987298,4.915571,1234.766227
