epoch,train_loss,train_top1,test_top1,best_top1,closest_to_reference_top1,learning_rate,epoch_seconds,elapsed_seconds
200,1.90775383,50.260417,44.283623,50.089445,50.089445,0.0590259573,4.855580,1031.191056
201,1.97351709,48.958333,46.950724,50.089445,50.089445,0.0586824089,5.374933,1036.627872
202,1.94505220,49.895833,46.023744,50.089445,50.089445,0.0583384373,5.512795,1042.206554
203,1.94213089,50.260417,46.836884,50.089445,50.089445,0.0579940594,5.240697,1047.498121
204,1.93898664,49.531250,47.926492,50.089445,50.089445,0.0576492918,5.107648,1052.668258
205,1.88725135,51.979167,48.202960,50.089445,50.089445,0.0573041514,5.494593,1058.217287
206,1.84225522,52.343750,45.178078,50.089445,50.089445,0.0569586550,5.599557,1063.879907
207,1.94788660,49.843750,47.666287,50.089445,50.089445,0.0566128195,5.107105,1069.046790
208,1.85807592,53.020833,47.048301,50.089445,50.089445,0.0562666617,5.395561,1074.498916
209,1.85661495,51.354167,46.316474,50.089445,50.089445,0.0559201984,5.100849,1079.663498
210,1.87621376,52.031250,48.658318,50.089445,50.089445,0.0555734466,5.605385,1085.313968
211,1.93835138,50.520833,46.495365,50.089445,50.089445,0.0552264232,5.317996,1090.694182
212,1.87563672,53.437500,49.455196,50.089445,50.089445,0.0548791450,5.007237,1095.737378
213,1.85324415,52.656250,49.438933,50.089445,50.089445,0.0545316290,4.368500,1100.165524
214,1.81260272,53.229167,48.446902,50.089445,50.089445,0.0541838922,4.328862,1104.557891
215,1.84232066,51.510417,51.536835,51.536835,51.536835,0.0538359514,4.276305,1108.896373
216,1.81011593,53.645833,49.081151,51.536835,51.536835,0.0534878237,4.583049,1113.600105
217,1.84040297,52.916667,48.365588,51.536835,51.536835,0.0531395260,5.306213,1118.969172
218,1.81495046,52.083333,44.543828,51.536835,51.536835,0.0527910752,4.604169,1123.635996
219,1.79207345,54.375000,51.032688,51.536835,51.536835,0.0524424885,4.388300,1128.087107
220,1.79339058,53.177083,53.000488,53.000488,53.000488,0.0520937827,4.416095,1132.566669
221,1.73340688,55.572917,50.479753,53.000488,53.000488,0.0517449748,4.425517,1137.122996
222,1.81075008,53.750000,51.797040,53.000488,53.000488,0.0513960819,4.425532,1141.608662
223,1.79664794,53.645833,47.406082,53.000488,53.000488,0.0510471210,4.389891,1146.061503
224,1.79070268,53.750000,53.585949,53.585949,53.585949,0.0506981090,4.418888,1150.541522
225,1.73531003,55.156250,53.846154,53.846154,53.846154,0.0503490630,4.495455,1155.186770
226,1.84493115,52.604167,50.203285,53.846154,53.846154,0.0500000000,4.739473,1160.053667
227,1.79436061,53.854167,49.601561,53.846154,53.846154,0.0496509370,4.702168,1164.819694
228,1.76423789,55.364583,51.829566,53.846154,53.846154,0.0493018910,4.809267,1169.691649
229,1.69576450,54.843750,50.642381,53.846154,53.846154,0.0489528790,5.239581,1174.994500
230,1.72734854,55.572917,51.601886,53.846154,53.846154,0.0486039181,5.299612,1180.355963
231,1.75560659,54.375000,49.536510,53.846154,53.846154,0.0482550252,5.245800,1185.660996
232,1.65752451,57.604167,51.471784,53.846154,53.846154,0.0479062173,5.248260,1190.970253
233,1.71336273,55.677083,51.553098,53.846154,53.846154,0.0475575115,4.546064,1195.575049
234,1.73074467,56.145833,52.789071,53.846154,53.846154,0.0472089248,4.550462,1200.194232
235,1.68947620,56.041667,49.520247,53.846154,53.846154,0.0468604740,4.525419,1204.788966
236,1.74878008,54.947917,52.463815,53.846154,53.846154,0.0465121763,5.045392,1209.903736
237,1.72050447,55.781250,51.862091,53.846154,53.846154,0.0461640486,4.975631,1214.935251
238,1.73137039,55.677083,52.658969,53.846154,53.846154,0.0458161078,4.402277,1219.385849
239,1.59826634,58.593750,52.122296,53.846154,53.846154,0.0454683710,4.625295,1224.066893
240,1.69196692,57.395833,54.057570,54.057570,54.057570,0.0451208550,5.669186,1229.799364
241,1.66568104,56.770833,51.748252,54.057570,54.057570,0.0447735768,4.957716,1234.918913
242,1.66436251,57.135417,51.829566,54.057570,54.057570,0.0444265534,4.591137,1239.570431
243,1.66480530,56.927083,53.878679,54.057570,54.057570,0.0440798016,5.635272,1245.269387
244,1.63831730,59.479167,49.552773,54.057570,54.057570,0.0437333383,5.698792,1251.020531
245,1.65961150,57.968750,51.748252,54.057570,54.057570,0.0433871805,5.524066,1256.597651
246,1.65195622,57.343750,54.008782,54.057570,54.057570,0.0430413450,5.128141,1261.790630
247,1.63874787,57.708333,55.017076,55.017076,55.017076,0.0426958486,4.639895,1266.484402
248,1.59574231,58.489583,54.561717,55.017076,55.017076,0.0423507082,4.681155,1271.322779
249,1.55084976,59.791667,55.293544,55.293544,55.293544,0.0420059406,4.895076,1276.286663
250,1.62767075,58.020833,55.293544,55.293544,55.293544,0.0416615627,4.784485,1281.230121
251,1.56494197,59.895833,52.642706,55.293544,55.293544,0.0413175911,5.648236,1286.935058
252,1.56399564,60.104167,53.927468,55.293544,55.293544,0.0409740427,5.589612,1292.599759
253,1.60774055,58.333333,54.366564,55.293544,55.293544,0.0406309343,5.618137,1298.289198
254,1.53208776,60.312500,53.764840,55.293544,55.293544,0.0402882824,5.667168,1304.025194
255,1.63842199,57.083333,54.903236,55.293544,55.293544,0.0399461039,4.489391,1308.587491
256,1.60975318,59.635417,54.740608,55.293544,55.293544,0.0396044155,4.356618,1313.009465
257,1.56207236,60.156250,54.610506,55.293544,55.293544,0.0392632336,4.286830,1317.362836
258,1.54851363,60.520833,53.878679,55.293544,55.293544,0.0389225751,4.423813,1321.853909
259,1.49784292,61.406250,54.773134,55.293544,55.293544,0.0385824565,4.379148,1326.302057
260,1.61361094,58.541667,55.862742,55.862742,55.862742,0.0382428943,4.913649,1331.280381
261,1.61525791,58.229167,53.065539,55.862742,55.862742,0.0379039052,5.236319,1336.643833
262,1.55771751,60.000000,53.276956,55.862742,55.862742,0.0375655056,5.041539,1341.752311
263,1.50738370,60.520833,54.464141,55.862742,55.862742,0.0372277121,4.663201,1346.470777
264,1.54132786,60.104167,53.455846,55.862742,55.862742,0.0368905411,4.625318,1351.153960
265,1.56469082,60.000000,55.147178,55.862742,55.862742,0.0365540090,4.608688,1355.829009
266,1.46441163,60.937500,54.138884,55.862742,55.862742,0.0362181322,4.626892,1360.518553
